,average,XP,standard,energy,RMS,PulseFactor,ClearanceFactor,Kurtosis,freq_arggmax,freq_sum,power_sum,power_mean,energy_sum,IMFs_1_energy,IMFs_2_energy,IMFs_3_energy,IMFs_4_energy,IMFs_5_energy,label
signal_40,50.68457531809807,93.8964879512787,56.18344941532354,1893785.5484487056,56.181039928204505,1.8525653487669818,0.03655087049936239,-1.5174229847316894,23732.642552059842,43333.18869060844,1893785.5484487067,3156.3092474145114,1136271329.0692244,649184.4622410071,804043.265164502,4531.538809894217,2117.861143237298,130.06695786353362,0
signal_41,50.24733974243204,85.3515652418137,55.56635963860721,1852388.0547099453,55.56359801629639,1.6986285379350627,0.03380534266375565,-1.5253003898774748,23488.38041330816,41744.45093803617,1852388.054709945,3087.313424516575,1111432832.8259668,690625.4884059095,708988.7815433426,58186.65704690358,4052.1322996686063,200.25110256965098,0
signal_42,49.7694140586257,82.9101587533951,54.940673068244436,1810494.77792751,54.93169664725321,1.6658857718463669,0.033472079255022824,-1.5356045757339871,23109.680130861736,49271.613132588536,1810494.77792751,3017.4912965458498,1086296866.756506,601035.5675218885,413761.3367867541,5917.548356496991,288.5367913171403,240.05625433455344,0
signal_43,49.75466389442484,82.2998071312904,54.911333123624104,1808845.6169060161,54.90667258943452,1.654112412575504,0.03324537406353282,-1.5397276741881916,23091.753667534314,49790.91424423752,1808845.616906016,3014.74269484336,1085307370.1436095,804132.3923038344,621017.612585864,6238.7503819043195,3252.270483008394,256.9870691366644,0
signal_44,49.73838785116871,82.2998071312904,54.862746884192724,1805548.101321591,54.856602478972256,1.6546536927886493,0.0332671355923284,-1.5405066514561607,23062.030979639698,49602.77627660707,1805548.1013215915,3009.246835535986,1083328860.792955,841518.2030175023,180057.7309613828,6608.00750622936,234.10670303115057,159.3012450115896,0
signal_45,49.85079427490632,84.1308619976044,54.97234796394865,1812617.1506284592,54.96388436401457,1.6876533909100389,0.033854092305998874,-1.5395369859573436,23091.288102069477,49774.2945569866,1812617.1506284596,3021.028584380766,1087570290.377076,913023.7674737806,613929.7350437975,6331.796942146828,3852.3534586769347,193.36041322067462,0
signal_46,49.80483481640617,81.9946313202381,55.00331326863244,1814842.1658736253,54.997608521850374,1.6463187082638073,0.033055399427235815,-1.539714511036005,23133.04798235104,50486.506660158775,1814842.1658736249,3024.736943122708,1088905299.5241752,585255.7973552552,331233.38622369524,6197.342493026018,2551.2788690734524,277.8286871519746,0
signal_47,49.626164514273405,83.2153345644474,54.73705472249314,1797905.7993422095,54.740384229290434,1.6768439668657675,0.033789513722816036,-1.5394059136709326,23030.981060995317,48578.208375931084,1797905.7993422095,2996.509665570349,1078743479.6053257,874143.6742316037,638637.9523266972,3630.5516019690745,6068.081107484095,179.5218263289505,0
signal_48,50.324366042564314,84.4360378086567,55.578810017419414,1852980.3020917661,55.572479731304746,1.6778360950884261,0.03334043182321092,-1.5332875665999437,23493.634653242334,40083.71779901716,1852980.302091767,3088.3005034862786,1111788181.2550597,618136.2561775873,340178.2804004585,3981.5129745855356,4816.96344960342,165.35680755769638,0
signal_49,50.18441252748171,86.2670926749706,55.527004467904824,1849541.5343504983,55.52088997771467,1.7190017443709138,0.034253698664491954,-1.526301987537424,23473.908238122312,41755.04035325548,1849541.5343504988,3082.569223917498,1109724920.6102993,694799.7439417556,722234.1301754329,44796.56175717638,4283.251994294969,294.2837496826882,0
signal_50,50.62474049543341,84.741213619709,55.99040875452853,1880388.0060443785,55.98196147040548,1.673909096429898,0.03306504053252169,-1.5305622020837077,23674.185627749262,40563.376134023296,1880388.0060443785,3133.980010073964,1128232803.6266272,806705.7734938022,225314.4498335688,3103.064123171716,3492.9924455679193,229.37176986197983,0
signal_51,50.41093434085449,88.4033233523369,55.76684969031205,1865792.117397732,55.76426749268944,1.753653736203264,0.03478716986965369,-1.5226213789326173,23581.853644670766,40210.06568507083,1865792.117397732,3109.6535289962203,1119475270.4386392,662626.741506529,749804.3930066164,4108.265668330822,3362.7257674901957,268.3562322493649,0
